credit,default,AGE,MARRIAGE,EDUCATION_graduate school,PAY_2,BILL_AMT5,PAY_AMT6
30000,1,22,2,0,2,1630,0
180000,0,38,1,1,-2,0,0
140000,0,31,2,1,0,27407,2500
140000,0,26,2,1,0,13506,7004
120000,0,26,2,0,0,119131,5000
360000,0,48,1,0,0,173557,4100
20000,0,43,1,0,-1,19450,1700
100000,0,47,1,1,-1,390,2380
210000,1,41,1,0,-1,877,419
80000,1,24,2,0,0,49509,1800
330000,0,50,1,1,-1,0,258
220000,0,24,2,1,0,0,0
210000,1,38,1,1,-2,789,9616
40000,0,43,1,0,0,33138,1000
30000,0,39,2,0,0,7736,148
470000,0,27,2,0,2,305145,10367
30000,0,42,1,0,-1,1320,0
240000,1,36,1,0,-2,-946,0
80000,0,36,2,0,0,76235,3000
110000,0,31,0,0,0,63818,8954
310000,0,38,2,1,-1,0,0
360000,1,40,1,1,2,117845,4700
330000,0,45,2,0,0,335760,11678
300000,0,35,2,0,0,208464,15000
320000,0,33,2,0,0,43805,3754
50000,1,37,2,0,3,30249,30592
170000,0,28,2,1,0,127280,4962
350000,0,44,1,0,-1,0,0
20000,0,37,1,0,0,18650,782
50000,1,23,2,0,0,20066,1004
20000,0,24,2,0,2,1730,3200
50000,0,24,2,1,0,10385,389
20000,1,23,2,0,2,13454,10000
50000,0,26,1,0,0,45567,2000
190000,1,34,2,0,0,140120,2769
60000,0,33,1,0,0,20175,599
80000,0,35,2,1,-1,1378,2418
150000,0,27,2,0,0,36900,2529
210000,0,31,2,1,-2,6082,3299
240000,1,50,1,0,0,210375,7714
140000,1,41,3,0,0,16409,2399
60000,0,28,2,1,2,0,0
50000,0,39,2,1,0,30789,2000
50000,0,27,2,0,0,28790,1100
180000,0,32,2,1,-1,2821,176
30000,0,40,2,1,-1,19,60
20000,0,40,2,0,0,0,0
250000,0,75,1,0,-1,5572,1184
100000,0,27,2,0,0,30997,0
330000,0,25,2,1,0,39450,2566
50000,0,46,1,0,0,16765,2000
50000,0,26,2,0,2,29527,3003
30000,0,28,2,0,0,22001,0
140000,1,26,2,0,0,107699,3304
160000,0,28,2,1,0,99669,10000
400000,0,29,2,0,0,1896,862
50000,0,25,1,0,0,29533,886
140000,0,48,1,0,-1,1130,1347
160000,0,33,1,0,-1,7333,0
100000,0,43,1,0,0,0,0
220000,1,48,1,1,0,172169,5500
510000,0,29,2,1,0,87265,65000
50000,0,29,2,0,0,29130,6318
160000,0,38,1,1,-1,16578,1916
230000,0,37,2,1,-2,299,0
80000,0,37,2,1,-1,1644,4000
150000,0,25,1,0,-1,316,316
10000,0,23,2,0,0,9729,175
130000,1,49,2,0,0,28065,0
40000,0,48,2,1,0,34762,1500
50000,1,27,2,0,2,14319,1390
100000,0,32,2,0,0,19848,2015
120000,0,34,1,1,2,450,450
260000,1,58,2,1,-2,0,0
200000,0,33,2,0,0,16325,3000
360000,1,28,2,0,-2,0,0
70000,0,36,2,0,0,14310,2000
460000,1,40,1,1,-1,-10,0
50000,0,26,2,1,-1,316,316
50000,0,33,1,0,0,20067,697
250000,0,31,1,0,0,100871,4400
30000,0,27,2,1,0,0,0
270000,0,44,1,0,0,44149,31031
180000,0,30,2,0,0,103692,3211
100000,0,28,2,1,0,55831,3000
230000,0,32,1,0,0,98182,5000
210000,0,46,1,1,-1,16171,19777
210000,0,38,2,1,0,63663,2502
440000,0,46,1,0,0,105280,2701
100000,1,25,2,0,0,69718,1559
240000,0,46,1,0,0,11765,1000
280000,1,33,2,1,-1,325,345293
50000,1,22,2,0,-2,0,0
30000,0,43,1,0,2,2000,0
10000,1,27,2,0,0,9963,700
130000,0,29,2,1,-2,0,1500
200000,0,31,2,1,0,133634,5300
120000,0,29,1,0,-1,0,2496
210000,0,36,1,0,0,147993,4700
280000,0,36,1,1,0,30172,2000
300000,1,34,2,1,-2,19595,0
100000,0,37,2,0,0,66796,2305
440000,0,36,2,1,-2,0,0
50000,0,40,1,0,0,13687,1000
20000,1,25,2,1,0,15761,2000
200000,0,27,2,1,-1,4084,2880
110000,0,26,2,0,-2,1848,0
500000,0,36,1,0,-1,4590,0
300000,0,27,1,0,-1,0,0
30000,1,55,1,0,2,13836,1500
60000,0,27,2,1,-1,273,0
400000,0,38,1,0,0,5103,9085
180000,0,34,1,0,0,130331,5100
20000,0,40,2,1,0,13057,0
200000,1,49,1,0,2,58657,3000
100000,0,27,2,1,0,17580,200
60000,1,23,2,0,0,17808,616
110000,0,36,2,0,0,52175,2200
260000,0,53,1,0,-1,397,459
50000,0,46,1,0,2,29898,654
180000,0,29,2,0,-2,-2,0
110000,1,29,2,0,2,47862,2000
340000,0,27,2,1,0,145645,50000
50000,0,24,2,0,0,8384,1000
230000,1,28,1,0,0,767,1000
360000,0,32,2,0,0,100123,10000
210000,0,43,2,0,-2,45075,3000
220000,1,41,1,0,2,475,325
60000,1,34,1,0,2,29566,1291
340000,0,55,1,0,-1,24599,77195
150000,0,40,1,1,2,107147,4200
200000,1,37,1,0,-1,23209,2500
130000,1,40,2,0,0,10167,500
60000,0,28,2,1,2,20973,7000
400000,0,43,1,0,-2,1600,0
20000,0,27,2,1,0,19108,376
190000,0,28,2,1,0,156664,5865
260000,0,30,2,1,0,158762,6000
140000,0,31,2,0,-2,0,0
50000,1,31,1,0,0,30078,1047
120000,0,34,2,1,-1,1330,2037
240000,0,30,2,0,-2,92,1883
50000,0,36,2,0,0,978,0
200000,0,29,2,1,2,24815,1000
180000,0,39,1,1,0,-1005,1898
180000,0,26,2,1,0,108248,4028
160000,0,29,2,1,-1,6182,13000
100000,0,26,2,0,-1,1980,1525
50000,1,29,2,0,0,39963,2000
140000,0,31,2,0,0,141748,5000
30000,1,26,2,0,0,20796,1000
90000,0,26,2,1,0,0,3000
200000,0,36,1,1,-2,0,10000
380000,1,30,2,1,-2,0,0
80000,0,43,2,0,0,19036,882
50000,0,58,1,0,2,19089,638
180000,1,45,1,0,0,30419,1500
240000,0,26,2,0,0,113966,3520
380000,0,34,2,0,0,171253,4400
110000,0,24,2,0,0,82333,4000
260000,0,34,1,1,-1,34039,291
500000,1,23,2,0,3,484612,19000
320000,0,30,2,0,0,74374,2500
50000,0,32,2,0,3,45008,1590
110000,1,40,1,1,-2,216,66
230000,0,35,2,1,-2,576,520
330000,0,56,1,0,-1,3965,384
50000,0,61,1,0,0,23171,1039
10000,0,24,2,0,2,2008,0
300000,0,40,1,1,-2,0,0
20000,1,32,1,0,2,10918,616
180000,1,36,1,0,2,0,0
160000,0,30,2,1,-1,13028,50000
90000,0,34,2,1,0,49718,2000
30000,0,54,3,0,0,24339,0
180000,0,46,1,1,0,28089,7000
30000,0,58,1,0,0,21800,1961
30000,0,43,1,0,2,25183,1000
140000,0,28,2,1,0,3400,4000
210000,0,30,2,1,0,47842,10000
50000,1,31,2,0,0,11139,5000
130000,0,29,2,0,0,73875,5750
50000,1,37,1,0,2,1948,400
140000,0,36,1,0,0,88616,3300
170000,1,28,2,0,0,5577,95
80000,0,25,2,0,0,0,6305
410000,0,42,1,0,0,234939,8300
80000,0,29,2,1,-1,0,0
80000,1,73,1,0,0,72870,5100
150000,0,43,1,0,0,162866,5334
260000,1,30,1,1,-1,0,651
350000,0,38,1,1,-2,0,0
280000,1,39,1,0,-1,32581,5000
310000,0,44,1,0,0,72090,2653
140000,0,29,2,0,0,21214,2000
360000,0,51,1,1,-1,0,0
140000,0,27,2,1,0,142650,5600
100000,0,38,2,1,0,43011,0
50000,0,22,2,0,-2,0,0
210000,0,30,1,0,0,82733,5000
120000,0,25,2,0,2,119311,4400
240000,0,29,2,1,0,28797,6100
60000,0,42,3,0,0,28768,2000
150000,1,41,2,1,-1,2344,472
30000,0,48,1,0,0,25667,2244
160000,1,29,2,1,2,170098,5654
200000,0,52,1,1,-2,0,396
120000,0,25,1,0,0,0,0
500000,0,37,1,1,2,356636,10526
320000,0,27,2,1,0,59508,11341
280000,0,31,2,1,0,168399,6288
60000,1,23,2,1,2,32349,1200
200000,0,38,1,1,-1,-150,0
230000,0,32,1,1,-2,792,0
230000,1,27,2,0,2,9218,4641
480000,0,41,1,0,-2,19371,2000
50000,0,35,1,0,-1,0,640
200000,0,31,2,1,-2,0,1103
50000,0,30,2,1,0,19450,1000
50000,0,48,1,0,0,19091,2500
260000,1,36,2,1,-2,0,0
30000,0,24,2,1,0,30002,1800
440000,0,29,2,1,0,157963,6010
230000,0,38,2,0,-1,2980,2213
200000,1,38,1,0,2,98045,0
490000,0,30,1,0,0,196698,6000
80000,0,32,1,0,-1,0,0
20000,1,49,2,0,2,15327,1000
170000,1,31,2,1,-1,199,398
70000,0,27,2,1,0,28949,1000
210000,0,33,2,0,0,68791,3000
90000,0,25,2,0,0,76070,3100
390000,1,27,2,1,0,292885,7000
110000,0,29,2,1,0,52014,2500
580000,0,36,1,1,0,168755,5946
360000,0,55,1,0,0,0,0
270000,1,32,1,0,2,223690,0
60000,0,27,2,1,-1,150,200
110000,0,37,1,0,0,60272,2300
50000,0,25,1,1,0,21399,704
80000,1,23,2,1,0,46235,1700
50000,0,23,2,0,-1,12645,2400
100000,0,32,2,1,0,93381,3200
30000,0,26,2,1,-2,197,0
200000,0,27,2,1,0,117213,4400
240000,1,44,2,1,0,194410,7000
220000,0,34,2,0,0,20329,500
160000,0,28,2,1,0,82255,2500
180000,0,53,1,1,-1,0,0
200000,0,42,1,0,0,30900,2102
140000,0,30,1,0,0,60848,5200
380000,1,51,1,1,-2,0,0
600000,1,53,1,1,2,440982,20000
260000,0,37,2,0,0,127402,6000
200000,0,26,2,1,0,1443,2015
80000,0,42,2,0,0,48919,1700
40000,0,39,2,0,0,10600,4987
130000,0,39,2,0,2,77217,6000
50000,0,32,2,1,0,0,0
230000,0,41,1,0,-1,6985,6554
70000,1,48,1,0,0,9730,4590
180000,0,38,1,0,0,126075,5000
80000,0,36,1,0,-1,1260,2198
290000,0,26,2,0,0,23473,4900
230000,0,28,2,1,0,97599,3000
170000,0,56,3,0,-2,0,614
230000,1,59,1,1,0,198999,6945
220000,1,38,2,1,0,167743,7009
230000,0,32,2,0,0,19860,500
500000,0,38,1,0,0,48268,2132
90000,0,41,1,1,-1,2870,1362
390000,1,35,2,0,0,257496,9435
400000,0,41,2,0,0,152127,6012
180000,0,34,1,0,-1,1180,2440
60000,0,38,1,0,2,34213,0
120000,0,32,1,0,-1,0,5120
60000,0,29,2,0,0,30391,420
50000,0,44,2,1,0,29106,1000
70000,0,37,1,0,0,50610,2700
500000,0,38,1,1,2,600,600
200000,0,31,2,1,-2,0,0
250000,0,40,1,0,0,1069,67619
140000,1,26,2,0,0,140419,5400
70000,0,28,2,0,0,6736,0
90000,0,48,1,0,2,63228,4086
100000,0,43,1,0,-1,2306,2111
190000,0,31,1,0,0,115494,3517
230000,0,42,1,1,-1,10500,0
320000,0,39,1,0,0,92837,938
220000,1,36,1,0,-1,396,792
260000,0,34,1,1,-1,4414,7725
90000,0,32,2,0,-2,0,0
30000,0,43,1,0,2,20859,800
260000,0,30,2,0,0,68500,2003
170000,0,28,2,0,0,0,0
80000,1,28,1,1,0,10400,276
50000,0,41,1,1,-1,220,1000
200000,0,47,2,0,0,200526,7100
20000,0,23,2,0,0,30190,104
250000,0,49,1,1,-1,-6,0
20000,0,38,1,1,0,20255,850
30000,0,38,1,0,0,25128,1200
90000,0,35,1,0,2,31199,2000
230000,0,46,2,0,0,189896,7000
130000,1,33,1,1,0,22304,0
30000,0,53,1,0,-2,0,0
160000,0,35,2,1,-1,792,0
500000,0,43,2,0,-1,222831,528666
180000,0,28,2,0,0,37893,2000
80000,0,30,1,0,0,10685,500
120000,0,26,2,1,-1,0,0
130000,0,31,1,0,-1,930,780
120000,1,35,2,0,-1,240,240
360000,0,28,2,1,-1,2828,3219
50000,1,23,2,0,2,32566,1500
20000,0,23,2,0,0,15746,4
100000,0,56,1,0,0,79529,732
70000,0,32,1,0,0,69884,5500
50000,0,47,1,0,0,19003,500
10000,0,22,2,0,2,9903,1287
290000,0,34,1,1,0,110151,7000
30000,0,31,1,1,0,19291,1623
410000,0,27,2,0,-1,62408,5350
360000,1,28,2,1,-1,106584,167000
140000,1,42,1,0,0,70781,5000
210000,0,32,2,1,0,73505,3000
220000,0,27,2,0,-1,0,153504
20000,0,27,2,0,2,20759,300
620000,1,45,1,0,2,167159,6000
360000,0,26,2,1,-2,1677,0
20000,0,21,2,0,-1,5308,0
50000,0,23,2,0,0,19322,1000
50000,0,30,3,0,0,18079,637
10000,1,46,2,0,0,6652,251
100000,1,50,1,0,0,61198,2500
50000,0,26,2,1,-2,1620,0
60000,0,25,2,0,-1,4825,2435
440000,0,35,2,1,0,216547,5500
120000,0,44,1,0,0,53442,0
50000,0,52,2,1,0,318,0
110000,0,40,1,0,2,99005,3800
200000,0,38,2,1,-1,218,317
150000,0,28,2,1,-2,0,0
30000,1,36,1,0,3,28189,1500
100000,0,24,2,1,0,14718,330
360000,0,34,1,1,0,166,4230
390000,0,31,2,1,0,47751,5000
220000,1,41,1,1,-2,-65,0
160000,0,25,2,0,-2,0,0
230000,0,28,2,1,-1,10797,2000
120000,0,27,2,1,0,31760,3500
100000,1,52,1,0,0,6144,2000
190000,1,41,2,1,-1,26854,0
50000,1,56,1,1,0,30399,1017
240000,0,42,1,1,-1,0,0
40000,0,24,2,0,-2,38724,1751
630000,0,47,1,0,0,8654,4981
160000,0,33,1,1,-2,150,1145
110000,0,32,2,0,0,81603,3000
20000,0,29,2,0,0,0,0
210000,0,53,1,0,0,61593,0
270000,0,34,2,1,-1,2457,1712
360000,0,52,2,0,-2,944,789
60000,0,42,1,0,-1,416,730
360000,0,38,2,0,0,65108,105700
390000,0,45,2,1,2,3346,3
250000,0,35,2,0,-2,2391,13407
90000,1,24,2,1,0,22737,764
360000,0,28,2,1,-1,10132,16071
50000,0,26,2,0,0,19166,683
270000,0,40,1,1,0,0,0
200000,0,29,2,1,-1,19468,125
50000,0,23,2,0,0,18305,1000
350000,0,33,2,1,-1,-22,0
160000,1,60,2,0,-1,3177,0
80000,0,49,1,0,-1,6764,7990
290000,1,53,1,1,0,255892,8546
270000,0,28,2,1,-1,50565,15000
80000,0,31,2,1,-1,538,0
50000,0,36,2,0,0,6987,1000
30000,0,35,1,0,-1,2000,0
30000,1,28,2,0,-1,0,0
90000,0,33,2,0,0,35598,6537
160000,0,26,2,1,-1,21572,6066
80000,0,53,2,0,0,61556,2000
50000,0,42,2,0,0,45775,0
20000,0,25,2,1,0,18056,800
220000,1,43,1,1,-2,0,0
210000,1,25,2,0,-1,1561,7967
130000,0,29,2,0,0,46516,1365
260000,0,31,1,0,-1,17024,38923
230000,0,30,1,1,0,56538,10000
160000,0,34,2,1,0,86773,3013
50000,0,35,1,1,0,6020,172
80000,0,32,1,0,0,42379,5002
110000,0,46,2,0,0,61004,2454
200000,0,43,1,1,0,134629,4902
360000,0,29,2,0,0,245462,7300
210000,0,31,2,0,-2,0,0
80000,0,24,2,0,0,60035,2200
300000,1,36,1,0,-1,2768,10780
310000,0,43,1,0,0,25356,807
30000,1,59,1,0,-1,390,0
170000,0,53,1,1,0,18015,361
140000,0,28,2,0,2,30454,3000
180000,0,31,2,0,-2,0,1576
50000,0,34,2,1,2,25101,1030
50000,0,36,1,0,0,0,0
110000,0,24,2,1,0,42543,3000
450000,0,36,1,0,-2,6368,3238
200000,0,34,1,0,-1,390,390
220000,0,43,2,1,0,13580,0
360000,1,29,2,1,0,0,0
50000,0,37,1,0,0,43686,2000
40000,0,23,2,0,2,27274,0
190000,0,37,1,0,2,123528,5000
150000,0,33,2,1,0,24149,8399
200000,0,37,1,1,-2,595,2370
270000,0,56,1,0,0,109294,3900
60000,0,25,2,1,0,39619,2000
200000,0,39,1,0,0,70805,2620
150000,0,39,1,0,0,30223,2000
180000,0,28,2,0,-1,460,460
90000,0,27,2,1,0,0,0
360000,0,37,1,0,-2,166,4268
90000,0,24,2,1,-1,0,0
20000,0,24,2,0,0,15519,1327
70000,0,46,1,1,0,50013,1800
230000,0,39,1,1,-1,660,660
30000,0,48,1,0,0,29553,530
200000,0,45,3,0,-1,6788,5016
100000,0,49,2,0,-1,0,0
50000,0,23,2,0,0,33831,2000
20000,0,25,1,0,0,1304,0
210000,0,47,1,0,-2,0,0
110000,0,56,1,0,0,22628,4976
20000,0,44,1,0,-1,0,0
50000,0,49,1,0,0,6941,0
50000,0,41,1,0,0,18811,618
400000,0,40,2,1,-1,76933,7700
170000,0,31,2,0,0,53672,3000
280000,0,42,1,0,0,144990,5600
130000,0,28,1,0,0,0,0
210000,0,32,2,0,0,61630,5000
370000,0,28,2,0,0,53025,6000
30000,0,31,1,0,0,19637,0
150000,0,39,2,0,-1,-5000,0
60000,1,31,1,0,0,0,0
80000,0,24,2,0,0,56873,2500
280000,1,44,1,0,2,199250,15000
20000,0,46,2,0,7,18737,0
270000,0,32,2,1,-2,-200,0
240000,0,26,2,0,0,7500,500
20000,0,22,2,1,0,19115,1600
450000,1,42,1,1,-2,0,0
10000,0,33,2,0,0,8049,1500
280000,1,39,1,0,-2,3866,3519
290000,0,27,2,0,0,2000,0
190000,1,28,2,1,0,43883,2000
80000,0,23,2,1,0,0,0
280000,0,28,2,0,2,2875,1000
160000,0,33,1,1,-2,13391,1905
90000,1,40,1,0,0,1457,0
140000,0,37,2,1,-1,0,0
50000,0,22,2,1,0,5810,1170
40000,0,32,1,0,0,29693,0
130000,0,43,1,0,0,97743,3681
70000,0,27,1,0,0,67361,2258
30000,0,35,1,0,0,26157,2000
100000,0,35,1,0,2,97266,0
20000,1,30,1,1,2,7458,0
30000,0,34,2,0,-1,37662,3095
20000,1,34,1,0,0,16387,1000
100000,1,28,2,1,0,78840,3000
30000,1,25,2,0,2,2400,0
320000,0,41,1,1,0,104090,3510
90000,1,42,2,0,2,29240,1300
190000,1,40,2,0,2,165725,7000
200000,0,28,2,1,0,152574,10000
300000,0,31,2,0,-1,4059,4141
30000,0,56,2,1,0,7024,7024
110000,0,45,3,0,0,22141,2000
230000,0,29,2,1,-2,0,0
230000,0,35,1,1,0,0,0
310000,0,28,2,0,0,58189,5000
320000,0,40,1,1,0,229683,8000
360000,0,47,1,1,-1,4852,10007
20000,1,41,1,0,-1,1252,1000
170000,0,27,2,0,0,161327,6200
140000,0,40,1,1,0,133467,4767
80000,0,32,2,0,0,42256,1500
150000,0,35,2,0,0,0,0
170000,0,27,2,0,2,0,0
200000,1,29,1,0,0,122211,5000
70000,0,30,2,1,0,60872,2500
320000,0,37,1,0,-2,5417,5028
150000,0,29,2,1,-2,0,0
50000,0,34,1,1,0,7349,1000
90000,0,34,2,0,2,0,0
280000,0,41,1,1,-2,3955,4437
300000,0,31,2,1,0,30155,500
400000,0,40,2,0,-2,1524,385
200000,0,27,1,1,-1,7384,1304
10000,1,22,2,0,0,0,0
50000,1,30,3,0,3,20076,1600
30000,0,22,3,0,2,24569,2500
50000,1,26,2,1,0,18619,1000
50000,0,38,1,0,2,51507,2000
30000,0,46,1,0,2,13549,0
20000,0,24,2,0,0,688,0
20000,0,49,2,0,0,18800,0
50000,0,49,3,1,0,19152,2000
30000,0,42,1,0,0,27960,2000
360000,0,30,1,1,2,319,0
170000,0,42,1,0,-1,0,0
400000,0,31,2,1,-2,-10,0
50000,0,49,1,0,0,33573,1064
160000,0,27,2,0,0,85145,2500
70000,1,33,1,0,0,1261,1651
150000,0,35,1,1,-2,0,0
80000,0,48,2,0,0,11723,2000
30000,0,22,2,0,0,28708,0
10000,1,22,2,0,0,9293,2500
180000,0,27,2,1,-1,3333,3333
320000,0,47,1,1,-1,8420,516
80000,0,34,2,0,0,29385,0
10000,1,45,1,0,0,9754,200
360000,0,39,2,0,-1,5329,9004
450000,0,33,2,0,-2,-387,2515
330000,0,29,2,0,0,8875,519
60000,1,29,2,1,2,732,0
50000,0,26,2,0,0,10884,361
200000,0,38,1,0,0,165447,10000
120000,0,34,2,1,2,-18,0
160000,0,37,1,1,-1,632,316
110000,0,57,1,0,0,38529,0
70000,0,50,1,0,-2,18296,690
150000,0,28,2,0,0,101913,3050
610000,0,31,2,1,0,105301,2000
110000,0,25,2,1,0,86443,3202
80000,1,25,2,0,0,23243,2000
170000,0,33,1,0,0,81862,4500
110000,0,30,2,1,-1,0,0
140000,0,51,1,1,0,55883,2132
